Tittle,Название,Категория,Состав,Метод,Теги,Фото,Фото-ссылка
,Радлер Вишневый,Радлеры,"Пиво ""Хеллес"" 150 мл
Сок ""Вишня"" 100 мл
Сироп ""Вишня"" 20 мл",В бокал налить Сироп и Сок Вишни. Сверху долить пивом.,Пивной_Коктейль ягодный сладкий,IMG_7454(4).jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7454_eXexL.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=d6e5d28e2bb8911b3e144e59491489159da7a8b1ab225c8ae4df939092d5715a&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7454%284%29.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7454_eXexL.jpeg
,Радлер Классический,Радлеры,"Пиво ""Хеллес"" 150 мл
Добрый Лимон-Лайм 100 мл
Сироп ""Бузина"" 10 мл
Сок Лимона 10 мл
Лимон (украшение) 1 долька","В бокал налить Сироп, Сок Лимона и Добрый Лимон-Лайм. Сверху долить пивом, украсить долькой лимона на каёмку бокала.",Пивной_Коктейль Спрайт Освежающий,IMG_7454.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7454_ETCjD.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=e43a20df59d57914cdc5be73446c2018f02f2036fe71f03b6346053e1f61fb0b&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7454.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7454_eXexL.jpeg
,Радлер Санрайз,Радлеры,"Пиво ""Хеллес"" 150 мл
Фреш Апельсина 100 мл
Сироп ""Гренадин"" 15 мл
Апельсин (украшение) 1 долька",В бокал налить Фреш Апельсина. Долить пивом и сверху долить сироп (чтобы образовался красный слой на дне бокала). Украсить долькой Апельсина на каёмку бокала.,Пивной_коктейль Цитрусовый,IMG_7454.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7454_N4zey.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=743122925ce56c55fff0de132d4a563becc48e8985eab92b307a3976192f4c30&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7454.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7454_eXexL.jpeg
,Джин Бэзил,Коктейль,"Джин Барристер 60 мл.
Сироп Монин ""Базилик"" 20 мл.
Сок Лимона 20 мл.
Базилик свеж. (украшение) 4 гр.","Бокал РОКС наполнить льдом. В шейкер добавить лёд, ДЖИН, СИРОП и СОК ЛИМОНА. Шейкуем и с помощью сито и стрейнера переливаем в РОКС со льдом. Украсить 1-2 листочками Базилика на лёд.",Сливочный Травянистый Джин,IMG_7415.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7415_YQwRn.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=15c13273fa948e3090ab23f98412e2d55475bc6d636698b9a6f87011c6f21da1&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7415.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7415_YQwRn.jpeg
,Зелёный Гимлет,Коктейль,"Кордиал ""Кинза-Халапеньо"" п/ф 40 мл.
Джин Барристер 40 мл.
Кинза свеж. (украшение) 1 гр.","В смесительный стакан добавить лёд. Налить КОРДИАЛ и ДЖИН. Стируем 10 сек., перелить с помощью стрейнера в охлаждённую коктейльную рюмку. Украсить листкиком кинзы положив его на коктейль.",Авторский Травянистый Сауэр,,
,"Лимонад ""Ромашка-Бузина""",Лимонад,"Кордиал ""Ромашка"" п/ф 30 мл.
Сироп Монин ""Бузина"" 20 мл.
Бонаква газ. 200 мл.
Сухоцвет (украшение) 2 шт.",В бокал со льдом добавить все ингредиенты и перемешать. Украсить сухоцветом.,Авторский Цветочный,,
,Бамбл,Лимонад,"Сок IL Primo ""Апельсин"" 200 мл.
Сироп Монин ""Карамель"" 20 мл.
Эспрессо 20 мл.","В бокал налить СИРОП, засыпать льдом, налить СОК. Поверх аккуратно поверх залить ЭСПРЕССО (слоем).",Классика Кофе Карамель Апельсин,IMG_7449.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7449_5ne4d.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=2acc1ecea1f545efc2afe6415008b5e27f0d3ad6f18cbb73c405d84759f58af1&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7449.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7449_5ne4d.jpeg
,Жасминовый Айс Ти,Лимонад,"Холодный чай ""Жасмин"" п/ф 80 мл.
Сироп ""Лемонграсс"" 30 мл.
Сок лайма/лимона 20 мл.
Бон Аква 100 мл.
Лёд 190 гр.
Мята (украшение) 1 гр.
Лимонная пудра (украшение) 0,5 гр.","Все ингредиенты добавить в БЛЕНДЕР и запустить его. После, перелить (с ""лёгким сугробом"" сверху) в бокал. Поверх льда посыпать ЛИМОННОЙ ПУДРОЙ и вставить веточку мяты.",Смузи Фраппе Летний Чай,IMG_7448.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7448_fPMZI.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=37355678c3b9c164a711cc24e68bfb31760d37450a949763eb5cf5615d3f0302&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7448.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7448_fPMZI.jpeg
,Космо,Коктейль,"Водка ""Тундра Нордик"" 30 мл.
Кордиал ""Клюква"" п/ф 50 мл.
Фруко Шульц Трипл-сек 15 мл.
Клюква с/м 2-3 ягоды",Охладить бокал. Смешать все ингредиенты в шейкере. Перелить в бокал с помощью стрейнера и сито. Украсить 2-3 ягодами клюквы на шпажке (предварительно немного разморозить).,Авторский Твист Космополитан,IMG_7447.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7447_OKkHk.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=508ce3f4faa20c6544e603ddc6da25efd1ba795141dc7e293cb237cf1f3f8e45&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7447.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7447_OKkHk.jpeg
,"Лимонад ""Имбирь-Лайм""",Лимонад,"Кордиал ""Имбирь-Лайм"" п/ф 60 мл.
Бонаква долить
Лайм 10 гр.",Смешать все ингредиенты в бокале со льдом. Перемешать и украсить 2 слайсами лайма.,Летний Свежий Терпко-Сладкий,IMG_7445.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7445_quSp2.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=174d061d13faff00c0cb06eb3fd7b33aca1fb2b50837afb896c6265157ad1bfa&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7445.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7445_quSp2.jpeg
,"Лимонад ""Рябиновый Улун""",Лимонад,"Сироп ""Рябина"" п/ф 40 мл.
Холодный чай ""Улун"" п/ф 50 мл.
Бонаква долить
Тимьян свеж. (украшение) 3 гр.","Бокал наполнить льдом. Поверх добавить все ингредиенты, перемешать и украсить веточкой тимьяна.",Авторский Dr.Pepper Мягкий Нежный,IMG_7446.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7446_hkjii.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=494115683d182e2fbcf4f25ad40852dad32e11e947f83b817f05455a2afe5d8f&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7446.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7446_hkjii.jpeg
,Эспрессо - Тоник,Лимонад,"Эспрессо 30 мл.
Тоник 150 мл.
Сироп ""Лемонграсс"" 15 мл.
Лимон (украшение) 20 гр.","Бокал засыпать КОЛОТЫМ льдом, потом по очереди налить: СИРОП, ТОНИК (оставляя отступ от края ~0,5 см.), положить ДОЛЬКУ ЛИМОНА внутрь. Сверху тонкой струйкой влить Эспрессо.",Авторский Классика,IMG_7450.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7450_UgvGq.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=9cc1f4a99394139e9b2a891a3be6955a8ecd373ffd70a073de477e1ec9eedaa2&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7450.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7450_UgvGq.jpeg
,"Настойка ""Рябина-Лайм""",Настойка,"Водка ""Русский стандарт"" 1 л.
Черноплодная рябина с/м 700 гр.
Лайм 200 гр.
Сахар-песок 260 гр.","Рябину предварительно разморозить при комнатной температуре. С Лайма снять цедру и выдавить сок. Все ингредиенты забросить в пищевую тару для настоек, плотно закрыть крышку и убрать в посудомойку на 2,5-3 часа. Периодически запуская её для поддержания температуры. После, фильтруем с помощью кухонного сито (конусообразное) и слегка из ягод выдавливаем сок. Фильтруем ещё раз через мелкое барное сито и переливаем в пищевую тару. Убрать в холодильник на 4-5 часов!",Сибирская Кисло-сладкая,IMG_7453.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7453_HjMzQ.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=8a4046a52b64ad455c5dbc5376f4ddf7c2dcf18935fb341e6609188c6b4a40a9&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7453.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7453_HjMzQ.jpeg
,"Настойка ""Хреновуха""",Настойка,"Водка ""Русский стандарт"" 1 л.
Корень Хрена 150 гр.
Вода фильтр. 200 мл.
Мёд 170 гр.
Лимон 320 гр.
Перец горошек ~30 зёрен
Розмарин свеж. 8 гр.
Мускат орех (специя) 2 щепотки","Корень Хрена промыть, почистить и мелко порезать. С Лимона снять цедру и выдавить сок. Все ингредиенты забросить в пищевую тару для настоек, плотно закрыть крышку и убрать в посудомойку на 2 часа. Периодически запуская её для поддержания температуры. После, отфильтровать через мелкое сито 2 раза и перелить в пищевую тару. Убрать в холодильник на 4-5 часов!",Медовая Хрен Питкая,IMG_7453.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7453_ph1SX.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=031c1b24218f81c2ad3ecde9b92b50a14e39c5be24f9eabf2174f32af734338f&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7453.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7453_HjMzQ.jpeg
,Настойка «Барбарисовка»,Настойка,"Водка ""Русский стандарт"" 1 л.
Чай ""Каркаде"" (у кухни) 55 гр.
Сироп ""Барбарис"" п/ф 1,2 л.","Водку с чаем ""Каркаде"" добавить в ТАРУ и убрать в посудомойку на 2-3 часа. Отфильтровать с помощью сито. Потом смешать с сиропом. Подписать ТАРУ. Убрать в холодильник.",Ностальгическая Конфеткая,IMG_7453.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7453_GhEog.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=d1563a8293f94f5944514dad01e476d708ca9e1a84491ae4bb61736a714b6942&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7453.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7453_HjMzQ.jpeg
,Настойка «Лимончелло»,Настойка,"Водка ""Русский стандарт"" 1 л.
Лимон 800 гр.
Сок Лимона Выдавить из этих Лимонов
Сахар-песок 250 гр.","Снять цедру с лимонов (без альбедо) и закинуть вместе с водкой в ТАРУ. ТАРУ убрать в посудомойку на 2-3 часа. Сделать фреш из лимонов* *оставшиеся без цедры Далее на индукционной плитке, в кастрюле, проварить фреш с сахаром, пока он не растворится. Процедить сироп через сито. ТАРУ с водкой процедить от цедры и смешать с полученным сиропом. Подписать ТАРУ. Убрать в холодильник.",Авторская Лимонная,IMG_7453.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7453_brI2V.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=818e653fd7be371eea1fde5900bba6a8bf48f0382f262575ee57766bafedcde5&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7453.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7453_HjMzQ.jpeg
,Настойка «Перцовая»,Настойка,"Водка ""Русский стандарт""  1 л.
Перец Болгарский 80 гр.
Перец Чили 40 гр.
Перец Горошек ~15 гр.
Сахарный Сироп 150 мл.","Перцы очистить от семян, промыть и нарезать кусочками. Водку и перцы добавить в ТАРУ и убрать в посудомойку на 2-3 часа. После процедить через сито и добавить сахарный сироп. Подписать ТАРУ. Убрать в холодильник. Убрать в холодильник.",Перцовая Nemiroff,IMG_7453.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7453_UvAMh.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=b91a6d2da0fb48170be2ebc8077ba5516bf0bd5ddeafd2b9230a314cf28cd7f9&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7453.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7453_HjMzQ.jpeg
,"Сироп ""Барбарис"" ",Настойка,"Конфеты ""Барбарис"" 500 гр.
Вода фильтр. 1 л.","На индукционной плитке в кастрюле растворить конфеты, постоянно помешивая. Отфильтровать с помощью сито.",Заготовка Барбарисовка,барбарис.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/%D0%B1%D0%B0%D1%80%D0%B1%D0%B0%D1%80%D0%B8%D1%81_dETxW.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=cb58a896b6984c414808dc82845c670ad8057b1d2fd99981ff34c1e4f9b92eda&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25B1%25D0%25B0%25D1%2580%25D0%25B1%25D0%25B0%25D1%2580%25D0%25B8%25D1%2581.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/%D0%B1%D0%B0%D1%80%D0%B1%D0%B0%D1%80%D0%B8%D1%81_dETxW.png
,BB Лимонад Яблоко-Саган,Лимонад,"Сироп ""CLAVIS"" Яблоко - Саган 50 мл
Бонаква 200 мл
Яблоко (украшение) 2 дольки","Бокал наполнить льдом. Налить сироп, долить Бонаквой, перемешать. Украсить 2 дольками яблока, веером, в бокал.",Мягкий Сливочный Яблочный,IMG_7467.jpeg(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7467_uRNJp.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=0b1f6cb6b5a88044e7fe4f4225c8bb80c30f6f00bba1d01bd332f94e29fad9d3&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22IMG_7467.jpeg%22&response-content-type=image%2Fjpeg&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/IMG_7467_uRNJp.jpeg
,"Супер Джус Лайм ",Заготовка,"Расчёт по формулам.
Цедра лайма (без альбедо) - вес в граммах
Лимонная кислота (гр.) = ВЕС ЦЕДРЫ * 0,44
Яблочная кислота (гр.) = ВЕС ЦЕДРЫ * 0,08
Вода (мл.) = ВЕС ЦЕДРЫ * 10
Сок Лайма = выдавливаем из лаймов с которых сняли цедру","Снять цедру с лаймов, высчитать по формулам лимонную и яблочную кислоты.
В вакуумный пакет закинуть цедру, лимонную и яблочные кислоты.
Запаять пакет на режиме ""1"".
Убрать пакет на кофемашину на 30 мин.
После, смешать в блендере смесь из пакета, воду (посчитанную по формуле) и сок лаймов.
Хорошо пробить, чтобы цедра измельчилась. Отфильтровать мелким сито.",суперджус суперсок,лайм.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/%D0%BB%D0%B0%D0%B9%D0%BC_2t-PQ.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115612Z&X-Amz-Expires=7428&X-Amz-Signature=5ca089abcc8735739cf01af7a0711379143d377aa287f61722dc77dc3ca6f281&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25BB%25D0%25B0%25D0%25B9%25D0%25BC.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mqo5ga1nk6h8lv8/c5h5liohk8szroq/%D0%BB%D0%B0%D0%B9%D0%BC_2t-PQ.png
