Название,Описание,Граммовка,Фотка,Фото-ссылка,Состав,Теги
Тосты с сельдью,"Поджаренные тосты бородинского хлеба со сливочным маслом, с отварным яйцом, свежим огурцом, маринованным красным луком, филе селедки. Украшается зеленью и горчицей.",130 гр.,сельдь.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D1%81%D0%B5%D0%BB%D1%8C%D0%B4%D1%8C_wtZpR.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=bcde97c4057b026b392ebfc853ad56c7ad69b61b8eb8d8e4b7ff6a8cccbbf4d5&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D1%2581%25D0%25B5%25D0%25BB%25D1%258C%25D0%25B4%25D1%258C.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D1%81%D0%B5%D0%BB%D1%8C%D0%B4%D1%8C_wtZpR.png,,
Тар тар из говядины,"Холодная закуска из мелконарезанной говядины со специями, трюфельным соусом и маслом и пармезаном.",80/30/10 гр.,тар тар.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D1%82%D0%B0%D1%80%20%D1%82%D0%B0%D1%80_hMJgy.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=b7d0a7963ec934cdd0631025d659e6c50e89990b14c10230488d6751a8f8b810&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%20%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D1%2582%25D0%25B0%25D1%2580%2520%25D1%2582%25D0%25B0%25D1%2580.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D1%82%D0%B0%D1%80%20%D1%82%D0%B0%D1%80_hMJgy.png,,
Креветки на льду,"Отварные креветки с зеленью, чесноком и лимоном. Подается с коктейльным соусом – барбекю+майонез.",180/40/30 гр.,креветки лед.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BA%D1%80%D0%B5%D0%B2%D0%B5%D1%82%D0%BA%D0%B8%20%D0%BB%D0%B5%D0%B4_wKAy5.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=97f511e1a90ebb32db51d6f77559bc8618c6ed3a30f052388f057cea64740259&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F%3F%3F%3F%20%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25BA%25D1%2580%25D0%25B5%25D0%25B2%25D0%25B5%25D1%2582%25D0%25BA%25D0%25B8%2520%25D0%25BB%25D0%25B5%25D0%25B4.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BA%D1%80%D0%B5%D0%B2%D0%B5%D1%82%D0%BA%D0%B8%20%D0%BB%D0%B5%D0%B4_wKAy5.png,,
Сырная тарелка,"Разнообразие изысканных сыров: пармезан, дорблю, камамбер, бри, чеддер и жареный сыр косичка, а также кукурузные чипсы",195 гр.,,,,
"Томаты с рукколой, песто и молодым сыром","Легкая закуска из томатов, соуса песто, рукколы и сыра пармезана",200 гр.,,,,
Чипсы крабовые с соусом айоли,"Хрустящие крабовые чипсы, подаются с нежным соусом айоли, украшенным икрой летучей рыбы",63 гр.,,,,
Сельдь пряного посола с картофелем,"Ароматная и сельдь, подается с жареным бэби картофелем и маринованным красным луком, украшается зеленью",270 гр.,,,,
Итальянская салями и вяленая шейка,,60/40 гр.,,,,
Салат со свеклой,"Отварная свекла с листьями салата, кусочками грейпфрута, творожной фетой с добавлением варенья из черной смородины.",190 гр.,салат свекла.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D1%81%D0%B0%D0%BB%D0%B0%D1%82%20%D1%81%D0%B2%D0%B5%D0%BA%D0%BB%D0%B0_CXUJK.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=2bf7b3a882df5f05fdf47772af0f917481557e9f3dc9fe72facb32817e5ae396&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F%20%3F%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D1%2581%25D0%25B0%25D0%25BB%25D0%25B0%25D1%2582%2520%25D1%2581%25D0%25B2%25D0%25B5%25D0%25BA%25D0%25BB%25D0%25B0.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D1%81%D0%B0%D0%BB%D0%B0%D1%82%20%D1%81%D0%B2%D0%B5%D0%BA%D0%BB%D0%B0_CXUJK.png,,
Салат с телячьим языком,"Свежие и маринованные огурцы, отварное яйцо и кусочки телячьего языка, всё заправлено мягким майонезом и горчицей. В состав входят: варёный картофель беби, хрустящий салат айсберг, а также соль, перец и ароматные специи",260 гр.,,,,
"Салат с креветками, рукколой и гуакамоле","Свежая руккола и салат айсберг, дополненные сочными помидорами черри и аппетитными креветками. Всё это заправлено ароматным растительным маслом с чесноком, солью и молотым перцем. Подается с насыщенным соусом гуакамоле и острым соусом чили, а также маслом чили для усиления вкуса. Лёгкое, освежающее и пряное блюдо",220 гр.,,,,
Греко салат,"Лёгкий салат с сыром фета, свежими огурцами, сочными помидорами, красным луком и болгарским перцем, дополненные маслинами без костей и каперсами",290 гр.,,,,
Зеленый салат с цыпленком в соусе унаги,"Маринованный цыпленок в соусе унаги с салатным миксом и стеблями сельдерея, замешанный тунцовой намазкой и посыпается пармезаном.",100/105 гр.,салат цыпа.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D1%81%D0%B0%D0%BB%D0%B0%D1%82%20%D1%86%D1%8B%D0%BF%D0%B0_UhaH2.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=3a71599b99030721de061537825a87181d2161437701be18bbcad237ea0c19aa&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F%20%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D1%2581%25D0%25B0%25D0%25BB%25D0%25B0%25D1%2582%2520%25D1%2586%25D1%258B%25D0%25BF%25D0%25B0.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D1%81%D0%B0%D0%BB%D0%B0%D1%82%20%D1%86%D1%8B%D0%BF%D0%B0_UhaH2.png,,
Вяленая оленина,Вяленое мясо собственного производства!,40 гр.,,,,
Свиной окорок,Вяленое мясо собственного производства!,50 гр.,,,,
Кешью с морской солью,Обжаренные орехи кешью с морской солью.,70 гр.,,,,
Начос с беконом и сыром,"Хрустящие кукурузные чипсы, запеченные с беконом, сыром и соусом сальса.",,,,,
Фламмкухен с беконом,"Пшеничная тортилья промазанная сметаной с сыром сулугуни, луком порей и беконом.",240 гр.,,,,
Крокеты из картофеля,Картофельные шарики в панировке с сырным и унаги соусами. Посыпается стружкой из тунца.,170 гр.,,,,
Картофель фри с розмарином и пармезаном,"Картофель фри посыпанный тёртым сыром ""Пармезан"" и сушёным розмарином. Подаётся без соуса.",150/10 гр.,,,,
Острые крылья,Маринованные крылья в остром маринаде со стиками из моркови и сельдерея. Подается с соусом барбекю.,160/50/40 гр.,остры.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BE%D1%81%D1%82%D1%80%D1%8B_6OHY2.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=fc9ac32b883f1eb2a6eca8c0748a5ed0acceead4b68e432f7fda9035e4dcbfab&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25BE%25D1%2581%25D1%2582%25D1%2580%25D1%258B.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BE%D1%81%D1%82%D1%80%D1%8B_6OHY2.png,,
Бородинские гренки,"Хлеб во фритюре, смазанный чесноком и специями. Сверху посыпается смесью из сыров (моцарелла, чеддер , пармезан и голландский. Подается с коктейльным соусом и маринованными огурцами.",120/40/30 гр.,гренки.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%B3%D1%80%D0%B5%D0%BD%D0%BA%D0%B8_Pxnx9.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=e43b686f51a141b74add29fc8d4677cfae6d2d5bc6dc46b2e0085ca1540bc83a&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25B3%25D1%2580%25D0%25B5%25D0%25BD%25D0%25BA%25D0%25B8.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%B3%D1%80%D0%B5%D0%BD%D0%BA%D0%B8_Pxnx9.png,,
Жареный сыр фри,"Жаренные в кляре кусочки сыра моцарелла, подаваемые с насыщенным сырно-чесночным соусом",155 гр.,,,,
Креветки темпура,"Очищенные креветки, маринованные в соусе понзу в кляре из рисовой муки. Подаются с тайским соусом.",100/40 гр.,креветки.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BA%D1%80%D0%B5%D0%B2%D0%B5%D1%82%D0%BA%D0%B8_fLPRx.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=6656464208224145e4dc7cf8c4148b07ca249b9b0e2c749b0a2d3861b4f75a7a&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25BA%25D1%2580%25D0%25B5%25D0%25B2%25D0%25B5%25D1%2582%25D0%25BA%25D0%25B8.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BA%D1%80%D0%B5%D0%B2%D0%B5%D1%82%D0%BA%D0%B8_fLPRx.png,,
Тигровые креветки Помодоро с хрустящим хлебом,"Сочные тигровые креветки, тушенные с чесноком и острым чили, в насыщенном соусе из томатов по-каталонски. Подаются с кусочками свежего хлеба",275 гр.,,,,
Запечённый камамбер с инжирным вареньем и хрустящим хлебом,"Запечённый камамбер со специями, подается с хрустящим подовым хлебом, вареньем из инжира",,,,,
Суп-крем из шампиньонов,"Из белых грибов и шампиньонов с луком, картофелем, сливками, панировочными сухарями и специями. Декорируется трюфельным маслом и молочной пеной.",270 гр.,крем грибн.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BA%D1%80%D0%B5%D0%BC%20%D0%B3%D1%80%D0%B8%D0%B1%D0%BD_TdOUw.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=d317181f70564c6b902eb449941a79719e657d92434efe9beaa598d199ecc375&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%20%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25BA%25D1%2580%25D0%25B5%25D0%25BC%2520%25D0%25B3%25D1%2580%25D0%25B8%25D0%25B1%25D0%25BD.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BA%D1%80%D0%B5%D0%BC%20%D0%B3%D1%80%D0%B8%D0%B1%D0%BD_TdOUw.png,,
Густой суп-гуляш,"Наваристый бульон из говядины, лука, моркови, болгарского перца, чеснока, картофеля, томатов с/с, сельдерея и приправ. Подается со сметаной.",300/40 гр.,гуля.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%B3%D1%83%D0%BB%D1%8F_qHReT.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=3e0023b1858ecf2eea73dc7f500d804cd7183d3c4ad7a3179ba72f1889eb9027&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25B3%25D1%2583%25D0%25BB%25D1%258F.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%B3%D1%83%D0%BB%D1%8F_qHReT.png,,
Фо-Бо с говядиной,"Ароматный насыщенный говяжий бульон с тонкими ломтиками сырой говядины, лапшой, лаймом, ростками сои, зеленью и специями, подается с уксусом",400 гр.,,,,
Карбонара,Классическая сливочная паста с беконом и пармезаном.,300 гр.,,,,
Спагетти с трюфельным соусом и пармезаном,Сливочная паста с трюфельным соусом и пармезаном.,355 гр.,трюф.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D1%82%D1%80%D1%8E%D1%84_Lku39.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=874914bbcd24261009041e8414924f3975c985b305cb9263fb6123868ba8ec6a&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D1%2582%25D1%2580%25D1%258E%25D1%2584.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D1%82%D1%80%D1%8E%D1%84_Lku39.png,,
Рисовая лапша с креветками и овощами,"Рисовая лапша, обжаренная со специями, овощами, тигровыми креветками в соусе унаги, украшается кинзой",,,,,
Кальмар гриль со шпинатом,"Кальмар на грили с тушенным шпинатом и брокколи, чесноком подается со сливочным и унаги соусом.",100/90/40 гр.,кальмар.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BA%D0%B0%D0%BB%D1%8C%D0%BC%D0%B0%D1%80_lal0q.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=488b70f1494e50c2837a9acb7406dc9eae358c2c08c933359ee76223d6c16ae4&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25BA%25D0%25B0%25D0%25BB%25D1%258C%25D0%25BC%25D0%25B0%25D1%2580.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BA%D0%B0%D0%BB%D1%8C%D0%BC%D0%B0%D1%80_lal0q.png,,
Мидии запечённые с соусом спайси,"Сочные мидии, запечённые под острым и ароматным соусом спайси. Блюдо украшено свежей кинзой и дополнено пикантным маслом чили",275 гр.,,,,
Филе трески темпура с картофелем фри,Хрустящее филе трески в кляре подается с нежным соусом айоли и порцией хрустящего картофеля фри,385 гр.,,,,
Телячий язык с соусом из баклажана и феты,"Отварной и обжаренный на гриле телячий язык, подается с баклажанной намазкой и свежим базиликом",230 гр.,,,,
"""Бистро"" Колбаски карривурст с картофелем фри","Колбаски из свинины в немецком стиле с приправой карри и соусом барбекю, на гарнир картофель фри.",150/140/60 гр.,карри.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BA%D0%B0%D1%80%D1%80%D0%B8_a5teM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=02285a3486b5f560e1e31d03f9890a1e0beccd19e45a12c6042787b5eed2d665&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25BA%25D0%25B0%25D1%2580%25D1%2580%25D0%25B8.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BA%D0%B0%D1%80%D1%80%D0%B8_a5teM.png,,
"""Бистро"" Нюрнбергские колбаски с молодым картофелем","Колбаска из куриного фарша, с соусом барбекю. На гарнир бейби картофель.",150/150/60 гр.,нюрки.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BD%D1%8E%D1%80%D0%BA%D0%B8_prYuG.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=017260e1b17da66ffdbaf9d32a1224add3c820a59a4e611aa9e96740230f1658&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25BD%25D1%258E%25D1%2580%25D0%25BA%25D0%25B8.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%BD%D1%8E%D1%80%D0%BA%D0%B8_prYuG.png,,
"""Бистро"" Свиные ребра с картофелем",Свиные ребра в соусе BBQ с бейби картофелем.,280/150 гр.,ребра.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D1%80%D0%B5%D0%B1%D1%80%D0%B0_9l205.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=c336c6c74f6cd6cce157fca11c96dd3f84b284d34e1c4df5c2732630ce1456a4&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D1%2580%25D0%25B5%25D0%25B1%25D1%2580%25D0%25B0.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D1%80%D0%B5%D0%B1%D1%80%D0%B0_9l205.png,,
"""Бистро"" Запеченные мозговые кости с трюфельной пастой",Говяжьи мозговые кости с перечным соусом и панировочными сухарями. Сверху украшаются трюфельной пастой и подаются с намазкой томаты по-каталонски и хрустящим подовым хлебом.,600/55/40/60 гр.,,,,
Жульен из цыпленка с белыми грибами,"Куриное филе с белыми грибами, луком, моцареллой и соусом жульен (майонез, сметана, мускат, соль, перец, оливки и петрушка). Украшается каперсами и поливается трюфельным маслом.",350 гр.,жюля.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%B6%D1%8E%D0%BB%D1%8F_NC97K.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=a5ae62a278ad16dca4d79ea00e8329861d9ea1ce46ac8a748b30706902531949&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25B6%25D1%258E%25D0%25BB%25D1%258F.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%B6%D1%8E%D0%BB%D1%8F_NC97K.png,,
Свиная вырезка со шпинатом и перечным соусом,Свиные стейки с обжаренным шпинатом в сливках и перечном соусе.,180/60/105 гр.,вырезка.png(https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%B2%D1%8B%D1%80%D0%B5%D0%B7%D0%BA%D0%B0_xtXpS.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=NxjF5S1zfggO3fDBLWFg%2F20260903%2Fru-central1-d%2Fs3%2Faws4_request&X-Amz-Date=20260903T115322Z&X-Amz-Expires=7598&X-Amz-Signature=0a1be5f3324068fabb1f832219bcb24e052bed42dd4126be96b407657730c061&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22%3F%3F%3F%3F%3F%3F%3F.png%22%3B%20filename%2A%3DUTF-8%27%27%25D0%25B2%25D1%258B%25D1%2580%25D0%25B5%25D0%25B7%25D0%25BA%25D0%25B0.png&response-content-type=image%2Fpng&x-amz-checksum-mode=ENABLED&x-id=GetObject),https://pbt.storage.yandexcloud.net/nc/uploads/noco/p7e1e84wasa5nlq/mc7m3sa4m2x12dd/cosbqm0dqhlqtzh/%D0%B2%D1%8B%D1%80%D0%B5%D0%B7%D0%BA%D0%B0_xtXpS.png,,
Пельмени сибирские,"Традиционные отварные пельмени ручной лепки с начинкой из свинины и говядины, подаются со сметаной, горчицей, уксусом и сливочным маслом",300 гр.,,,,
Молодой картофель с зеленью,"Бейби картофель, обжаренный на сливочном масле с чесноком, посыпается петрушкой.",150 гр.,,,,
Овощи гриль,"Помидоры, кабачок, болгарский перец и баклажаны гриль, запекаются с сыром моцарелла.",210 гр.,,,,
